rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
1405,5809954,K01902.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,137.865,1.265,1.922,2363,15.9,170,0.2
4208,6200529,K04502.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,374.925,0.348,18.05,610,1.67,171,0.2
6771,11444772,K05897.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,395.943,0.1116,16.09,1506,2.53,172,0.21
9014,10753394,K08215.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.01,1,0,0,0,288.679,0.717,9.197,242.5,0.96,172,0.21
6207,3644649,K04998.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,598.318,0.5712,16.07,283.2,1.27,173,0.21
9462,10459805,K08290.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.115,1,0,0,0,461.138,0.003,12.91,408.2,1.26,173,0.21
9278,8028465,K08152.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.046,1,0,0,0,261.684,0.037,3.892,817,1.46,175,0.22
9455,9114508,K08178.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.001,1,0,0,0,256.456,0.779,35.35,17283,9.44,175,0.22
3853,4172805,K04427.01,Unknown,CANDIDATE,CANDIDATE,0.969,0,0,0,0,147.662,0.002,6.207,1087.8,1.59,176,0.23
3046,11709124,K00435.02,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,934.094,0.4948,17.489,8709.6,7.89,177,0.23
3795,8120608,K00571.05,Kepler-186 f,CONFIRMED,CANDIDATE,0.677,0,0,0,0,129.945,0.909,5.786,500.1,1.18,177,0.23
844,8800954,K01274.01,Kepler-421 b,CONFIRMED,CANDIDATE,0.334,0,0,0,0,704.963,0.8495,18.003,2319.1,4.53,178,0.24
4294,6199864,K04521.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,0,0,1,0,262.477,0.0753,5.816,1016,1.92,178,0.24
9034,10403228,K08007.01,Unknown,CANDIDATE,CANDIDATE,0.804,0,0,0,0,67.1766,1.236,3.1147,1689.9,9.66,179,0.24
6728,10098540,K05764.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,286.023,0.3591,10.43,1036,2.03,180,0.25
7253,6436029,K02828.02,Unknown,CANDIDATE,CANDIDATE,0.767,0,0,0,0,505.463,0.489,10.127,1724,3.46,181,0.25
631,10002261,K00959.01,Unknown,CANDIDATE,CANDIDATE,0.729,0,0,0,0,12.7138,0.485,2.44093,36719,2.31,181,0.26
6272,3848665,K05014.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1,359.041,1.28,14.04,3658,27.1,181,0.25
6505,7978202,K05454.01,Kepler-1630 b,CONFIRMED,CANDIDATE,0.334,0,0,0,0,509.997,0.0254,8.481,1267,2.62,182,0.26
6892,11391512,K05891.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,370.318,0.3565,12.588,1885,2.98,182,0.26
3728,7968683,K04050.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,367.956,0.957,21.877,1414.1,3.62,183,0.27
6095,5794687,K05203.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,367.728,0.2729,3.104,926,1.96,184,0.27
6886,11338918,K05884.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,0,0,0,0,588.638,0.3978,3.84,322.1,1.52,185,0.28
3829,8459663,K04356.01,Kepler-1593 b,CONFIRMED,CANDIDATE,0.976,0,0,0,0,174.51,0.024,6.689,1530,1.74,186,0.28
6601,9851638,K05725.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,351.251,0.1777,3.648,1324,2.23,186,0.28
9226,9210820,K07930.01,Unknown,CANDIDATE,CANDIDATE,0.469,0,0,0,0,377.672,0.107,15.82,514.8,1.37,187,0.29
6312,9274092,K05649.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,426.942,0.2981,3.965,1209,2.32,187,0.29
6361,8547525,K05538.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,485.578,0.5739,6.67,853,2.18,187,0.29
166,6867155,K00868.01,Unknown,CANDIDATE,CANDIDATE,0.998,0,0,0,0,235.999,0.778,8.2284,20715,10.59,188,0.29
9122,5301093,K07724.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,488.674,0.432,12.35,691,2.03,188,0.3
6378,10419108,K05793.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,507.482,0.7261,8.19,232.1,1.22,189,0.3
6448,8677186,K05559.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,586.632,0.0345,7.299,199.9,1.18,189,0.3
6576,9848760,K05723.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,444.465,1.2803,0.767,4084,30.17,189,0.3
4115,11284772,K04622.01,Kepler-441 b,CONFIRMED,CANDIDATE,0.975,0,0,0,0,207.248,0.21,6.159,809.2,1.56,189,0.3
